date,open,close,high,low,p_n_l
2023-07-29,29458.08198024,29226.96623799,29535.44601299,29157.08241981,-0.1145179299999999
2023-07-28,29335.35588815,29260.47472669,29518.38111675,29020.00000004,-0.2552590899999999
2023-07-27,29186.92618711,29335.35588815,29553.05818799,29100.00000004,-0.50148002
2023-07-26,29137.17800153,29483.20828712,29553.17361095,29137.17800147,0.3763894
2023-07-25,29549.96919998,29372.65273677,29549.96919998,29020.00000001,-0.6001478299999999
2023-07-24,29923.18987062,29549.99639999,30211.8707865,28880.5973,-2.0767621
2023-07-23,29799.487,30176.69455687,30269.59906262,29716.0,1.26581896
2023-07-22,29868.98512829,29799.487,30091.2651135,29788.832,-0.85374145
2023-07-21,29654.91101292,30056.08828387,30277.7518,29559.00000004,1.36819166
2023-07-20,30040.8068,29650.41379441,30310.9998,29604.98397184,-1.3085767700000002
2023-07-19,29935.48201085,30043.5568,30151.56825,29736.94406,0.36102572
2023-07-18,30212.9975,29935.48201085,30339.13279999,29692.33640003,-0.91853014
2023-07-17,30240.203,30212.9975,30399.4221,29953.0,-0.08996467
2023-07-16,30430.84529998,30240.203,30473.45803605,29977.91204575,-0.65320017
2023-07-15,30382.73027321,30439.0308,30730.3848,30163.44905676,0.18530437
2023-07-14,31558.64143497,30382.73027321,31999.99599916,30163.44905741,-2.90342827
2023-07-13,30496.19689988,31291.24924875,31999.99999996,30225.0,2.60703054
2023-07-12,30301.28894396,30496.20390023,30898.99959992,30252.00760151,0.64325632
2023-07-11,30447.125,30301.28894396,30618.91735787,30225.00000004,-0.47898137
2023-07-10,30297.30082987,30447.125,30813.99999999,30074.70448729,0.49451326
2023-07-09,30135.03714256,30297.30082986,30422.98649374,30112.23080287,-0.33782622
2023-07-08,30287.25030711,30399.99999999,30458.63960835,30032.63462087,0.42946812
2023-07-07,30016.00000001,30269.99999998,30485.85103347,29848.0,0.84621535
2023-07-06,30438.00814836,30016.00000001,31187.99959992,30016.0,-1.38645126
2023-07-05,30814.92,30438.00814836,30909.30613711,30229.00000004,-0.75739459
2023-07-04,30600.1546003,30670.30336631,31242.04996837,30411.46881617,-0.91330932
2023-07-03,30261.03653475,30952.99999999,30952.99999999,30183.20802315,0.93932093
2023-07-02,30255.13129225,30664.95763434,30784.75098325,30066.96429122,1.35457207
2023-07-01,30499.42,30255.13009226,30508.0,29632.25654722,-0.60842977
2023-06-30,30392.56403083,30440.33817315,30993.02064958,29490.63069704,0.15719023
2023-06-29,30176.60610572,30392.56403083,30399.99999999,29856.04320215,0.71564683
2023-06-28,30074.38824825,30176.60610572,30546.95982837,29958.01300029,0.34341806
2023-06-27,30225.2517639,30073.32886377,30546.96422921,29836.16707422,-0.50263568
2023-06-26,30000.0,30225.2517639,30561.46300315,29712.00580116,-1.100115
2023-06-25,30428.91190449,30561.46300314,30993.02064958,29960.30067505,0.40988318
2023-06-24,30390.81723987,30436.70805644,30821.75772498,29909.84506374,-0.6111311399999999
2023-06-23,29977.15707351,30623.86,31180.0,29600.00080001,1.88284918
